ID,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,NIVEL 5,NIVEL 6,TIPO DE EMISSAO,GÁS,TERRITÓRIO,IBGE,MUNICIPIO,ATIVIDADE ECONÔMICA,PRODUTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200385,AC - Plácido de Castro,SANEAMENTO,NA,"0,1","0,16","0,59","1,09","1,65","2,38","3,09","3,87","4,86","5,82","9,21","7,41","5,59","3,78","4,29","5,62","5,7","12,19","6,47","6,61","5,17","9,35","12,02","7,03","10,57","10,79","9,08","10,65",11,"11,37"
14,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200807,AC - Porto Acre,SANEAMENTO,NA,0,0,"0,24","0,46","0,7","0,97","1,28","1,61","1,98","2,39","3,8","2,89","2,11","1,36","1,6","1,86","1,82","6,33","3,49","3,55","3,05","5,67","7,46","4,55","6,85","7,05","6,07","7,29","7,37","7,7"
15,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200393,AC - Porto Walter,SANEAMENTO,NA,"2,55","3,97","15,54","30,24","45,26","63,82","82,73","105,66","131,02","156,76","250,72","200,59","149,48","99,9","119,08","155,59","155,25","295,36","156,17","154,66","136,33","248,8","321,33","194,49","293,42","293,49","252,27","297,59","305,96","321,57"
16,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200401,AC - Rio Branco,SANEAMENTO,NA,0,0,"0,09","0,15","0,21","0,28","0,41","0,5","0,6","0,71","1,2","0,91","0,63","0,44","0,51","0,61","0,64","1,5","0,72","0,77","0,58","1,17","1,56","0,85","1,38","1,29","1,17","1,44","1,49","1,52"
17,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200427,AC - Rodrigues Alves,SANEAMENTO,NA,0,0,"0,1","0,2","0,3","0,43","0,55","0,71","0,89","1,06","1,7","1,43","1,11","0,78","0,98","1,38","1,46","3,33","1,81","1,91","1,67","3,16","4,15","2,58","3,95","4,07","3,55","4,34","4,26","4,55"
18,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200435,AC - Santa Rosa do Purus,SANEAMENTO,NA,0,0,0,0,0,0,"0,14","0,15","0,16","0,17","0,24","0,41","0,47","0,43","0,59","0,96","1,17","2,6","1,62","1,88","1,8","3,22","4,22","2,44","3,53","3,55","3,15","3,46","3,66","4,01"
19,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200500,AC - Sena Madureira,SANEAMENTO,NA,"0,16","0,24","0,66","1,41","2,07","2,81","3,85","4,78","6,05","7,19","11,29","9,28","7,14","4,77","5,79","7,49","7,77","16,51","9,21","9,31","8,33","15,29","20,17","12,05","17,92","17,81","15,34","18,47","18,74","19,63"
20,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200450,AC - Senador Guiomard,SANEAMENTO,NA,"0,18","0,28","0,87","1,71","2,49","3,55","4,73","6,04","7,28","8,86","14,19","11,28","8,22","5,5","7,04","9,03","8,81","19,39","10,5","10,66","8,95","16,58","21,35","12,84","19,25","19,51","16,35","19,82","20,22","21,08"
21,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200609,AC - Tarauacá,SANEAMENTO,NA,"0,08","0,12","0,2","0,43","0,61","0,9","1,13","1,48","1,77","2,19","3,55","3,02","2,49","1,84","2,43","3,43","3,77","8,88","5,08","5,61","5,35","9,83","12,79","7,63","11,34","11,53","9,82","11,67","11,98","12,41"
22,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CH4 (t),AC,1200708,AC - Xapuri,SANEAMENTO,NA,0,0,"0,19","0,41","0,58","0,86","1,08","1,41","1,69","2,09","3,25","2,79","2,15","1,55","1,76","2,46","2,56","6,38","3,57","3,78","3,38","6,25","8,23","4,79","7,44","7,4","6,41","7,71","7,79","8,17"
23,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200013,AC - Acrelândia,SANEAMENTO,NA,0,0,"0,01","0,01","0,02","0,03","0,04","0,05","0,06","0,08","0,12","0,1","0,08","0,05","0,08","0,1","0,11","0,22","0,12","0,13","0,11","0,2","0,26","0,15","0,23","0,23","0,2","0,24","0,24","0,25"
24,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200054,AC - Assis Brasil,SANEAMENTO,NA,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,02","0,02","0,01","0,01","0,02","0,02","0,03","0,06","0,04","0,04","0,04","0,07","0,09","0,05","0,08","0,08","0,07","0,08","0,08","0,09"
25,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200104,AC - Brasiléia,SANEAMENTO,NA,0,0,"0,01","0,02","0,03","0,04","0,05","0,06","0,08","0,09","0,15","0,12","0,09","0,06","0,07","0,1","0,1","0,23","0,13","0,13","0,12","0,21","0,28","0,17","0,25","0,26","0,23","0,27","0,27","0,28"
26,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200138,AC - Bujari,SANEAMENTO,NA,0,0,0,"0,01","0,01","0,02","0,03","0,03","0,04","0,05","0,08","0,07","0,05","0,04","0,05","0,07","0,07","0,12","0,06","0,07","0,07","0,13","0,17","0,1","0,15","0,15","0,13","0,15","0,16","0,16"
27,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200179,AC - Capixaba,SANEAMENTO,NA,0,0,"0,01","0,01","0,02","0,02","0,03","0,04","0,05","0,06","0,1","0,08","0,06","0,04","0,05","0,07","0,07","0,18","0,1","0,1","0,08","0,15","0,19","0,12","0,18","0,18","0,16","0,19","0,19","0,2"
28,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200203,AC - Cruzeiro do Sul,SANEAMENTO,NA,"0,01","0,02","0,04","0,07","0,12","0,17","0,21","0,28","0,33","0,41","0,66","0,51","0,39","0,26","0,32","0,43","0,43","0,76","0,39","0,39","0,32","0,61","0,76","0,46","0,66","0,66","0,56","0,66","0,68","0,71"
